Ch,E,dT,T_0.1,T_0.2,T_0.3,T_0.4,T_0.5,T_0.6,T_0.7,T_0.8,I_0.1,I_0.2,I_0.3,I_0.4,I_0.5,I_0.6,I_0.7,I_0.8,
0,4265,-5.01024,24.7775,32.2352,38.1801,43.7219,49.5611,56.206,62.9037,70.1425,0.242294,1.29879,2.7146,4.36937,6.96861,10.7412,14.5353,20.4419,
0,4543,-24.0705,29.1239,38.8918,46.5763,52.9984,59.9972,68.7666,78.5307,87.3346,0.645294,1.87594,3.72313,5.68355,8.71383,13.5489,19.9223,26.5768,
0,1620,-2.26417,27.4213,37.0585,44.8142,54.1028,63.951,70.7024,77.0351,84.8896,0.31076,1.72022,3.37024,6.80867,10.717,14.3874,18.8636,24.0574,
0,4511,-14.1657,26.7754,35.3079,42.2499,48.5413,55.2529,62.9482,70.438,78.622,0.433318,1.64869,3.30293,5.31327,8.39327,12.135,17.2077,23.126,
0,4528,-18.1562,27.178,35.3654,42.1512,48.2487,53.8233,59.4832,65.3871,72.5385,0.517805,1.59986,3.26604,5.27653,7.42717,10.6113,14.4264,19.6266,
0,2093,-15.1754,33.8658,50.2112,62.1371,72.618,81.1863,87.9341,93.7525,101.053,0.788901,3.2422,6.18706,9.563,13.4867,16.6671,20.4053,26.3781,
0,4529,-33.3074,25.4487,32.7928,40.2342,47.9929,57.0821,67.0976,79.6571,95.6228,0.371719,1.30648,3.20607,5.56427,9.95818,15.4185,23.1491,35.0935,
0,2730,-8.25624,24.1487,31.2228,36.7785,42.155,47.2748,52.713,59.3217,69.1635,0.472496,1.3981,2.55165,4.54063,6.70883,9.39237,13.8648,21.3407,
0,1997,53.4406,20.8448,26.6415,30.8993,34.4947,38.0285,41.6741,46.5808,53.646,0.0831807,0.833906,1.68103,2.93393,4.63781,6.24574,9.43215,14.6043,
0,4520,-14.579,26.2012,33.5513,39.4117,44.4881,49.202,54.2933,60.5736,68.9864,0.49567,1.41628,2.80094,4.43462,6.59465,9.29194,13.1287,19.0523,
0,4536,-17.8098,25.8795,33.6956,40.0935,45.708,50.8053,55.9871,61.6766,68.8517,0.350338,1.37902,3.01844,4.66139,6.79582,9.40737,13.1915,18.3491,
0,4533,-23.838,24.4814,31.5845,37.5526,44.1468,51.4769,59.4003,67.4692,74.979,0.394827,1.31143,2.69588,5.08335,8.16328,12.4743,17.5799,22.7191,
0,2177,-21.2481,33.2634,46.0426,60.0826,69.4096,76.4777,81.9292,87.1955,95.0635,0.755083,2.65457,6.03389,9.10106,12.1032,14.714,18.5176,24.5227,
0,4512,-22.0795,24.658,32.1298,38.7649,45.7261,53.7921,63.6319,75.1141,92.3793,0.238594,1.32477,2.73941,5.0677,8.57266,13.9724,21.6907,34.4358,
0,4521,-23.2667,28.1889,36.6622,43.3767,49.5294,54.9482,60.1359,65.5722,72.4834,0.609998,1.67821,3.31332,5.30305,7.42689,10.5987,13.7799,18.9848,
0,2569,-19.6848,29.0292,38.6834,46.6878,53.8902,60.9781,67.4524,74.1148,82.7409,0.654984,1.90682,3.78141,6.07104,9.10254,12.8086,17.2854,23.2517,
0,4509,-19.5583,26.2443,34.1876,40.5262,46.714,53.6097,60.9253,68.289,76.3501,0.390745,1.4873,2.88279,4.88193,7.93243,11.6502,16.742,22.6798,
0,2393,-20.968,21.7791,26.662,30.6213,34.2886,38.0395,42.4601,48.3376,55.6408,0.293231,0.87686,1.74109,3.02186,4.7644,6.93126,10.7935,15.9581,
0,2584,-2.82671,27.6511,37.2258,47.5188,56.644,64.6793,71.7982,78.0931,84.6649,0.495756,1.8959,4.26088,7.31075,10.7809,14.4805,18.9183,23.367,
0,2896,-16.4198,24.038,30.5133,35.3521,39.2096,42.795,46.4744,51.1065,58.2833,0.450217,1.25572,2.36108,3.6564,4.9136,7.0034,10.2186,15.4699,
0,434,-10.2162,32.7131,56.2748,70.6462,78.2966,83.99,91.6892,98.6307,105.119,0.657626,3.87352,7.24174,9.8823,12.0547,16.4383,20.7181,25.9394,
0,4510,-24.0564,25.3871,33.6199,41.3162,49.6099,59.3427,71.4865,85.7115,102.439,0.294871,1.38139,3.28839,6.01233,10.4346,16.9546,25.9959,38.6564,
0,4517,-18.5733,27.8122,36.0338,42.9857,49.373,56.2057,63.9305,71.5096,79.8976,0.54243,1.76656,3.1549,5.4768,8.57197,12.3226,17.4131,23.3069,
0,4526,-28.6587,49.2014,67.5886,79.0323,88.0998,94.7005,99.9228,105.179,112.22,1.49108,4.03947,6.93493,9.98486,12.5714,15.1766,18.9641,24.2071,
0,4543,-24.3756,36.9245,49.3972,59.7206,68.031,74.8649,80.2037,85.4126,92.0924,0.824083,2.57615,4.96159,7.98558,10.5797,13.7483,16.9308,22.158,
0,1410,36.5153,23.5259,30.7979,36.7336,42.8052,47.7858,52.236,56.2772,61.7836,0.149529,1.05058,2.42029,4.38218,6.50222,9.08696,11.6295,15.3356,
0,1918,-2.10956,37.3383,53.8496,64.7062,72.8405,79.4943,85.0229,90.4619,97.2828,0.888409,3.02936,5.61965,8.26856,11.2934,14.5155,17.7061,22.9173,
0,347,3.03545,23.001,31.2437,47.3364,54.4826,58.7669,63.6088,73.0736,84.2672,0.231718,1.38484,5.40273,7.6639,9.33873,11.9637,18.529,26.6375,
0,4530,-18.3934,24.8584,31.9726,37.7702,43.8691,51.1761,60.2162,69.4056,79.5232,0.356546,1.22897,2.57426,4.57072,8.08298,12.9649,18.7514,26.1676,
0,2585,-15.2547,30.5607,43.2999,54.0241,63.2293,71.3724,77.9701,83.9086,90.9742,0.55272,2.42823,5.08999,8.16177,11.6495,14.8238,18.5778,23.7225,
0,4541,-23.0325,27.2201,34.9745,41.3529,46.7584,51.7455,56.7816,62.4717,69.8114,0.535906,1.48203,3.06827,4.70192,6.8185,9.44862,13.255,18.437,
0,1765,-37.482,30.884,41.3099,47.7017,53.986,59.8795,64.6983,69.7599,77.0081,0.604639,2.1102,3.46821,5.46259,7.98488,10.5971,13.7576,19.7419,
0,4531,-21.3524,34.3501,46.8286,57.4518,66.6382,76.6444,87.3708,96.4452,105.083,0.840963,2.4966,5.10316,8.14122,12.552,18.4937,24.2277,30.9051,
0,4525,-31.9641,24.5674,31.0916,37.6727,45.1697,53.8637,64.1984,77.0539,91.7803,0.297112,1.23961,2.669,5.38416,8.91685,14.8631,23.2781,33.7201,
0,4504,-19.89,26.0846,34.0906,40.6324,46.8905,52.9828,59.2243,65.9449,73.6267,0.513771,1.6289,3.03664,5.01934,7.57727,11.3082,15.1164,21.0061,
0,268,17.6538,19.6889,23.6297,27.2332,32.6593,40.171,46.8613,58.0625,66.0123,-0.740549,-0.478246,0.58897,2.2422,5.81039,8.94682,16.7906,22.5168,
0,4531,14.0017,31.749,43.9715,55.0112,64.1753,71.6572,78.0457,84.7153,94.2284,0.575484,2.24089,5.11348,8.18742,11.225,14.9769,18.8157,26.2755,
0,499,-89.6261,50.6952,69.9584,82.4947,89.957,97.1578,101.771,107.123,114.77,0.980087,3.71186,6.84449,9.16074,12.5551,14.7461,18.5148,23.5314,
0,2892,-21.3057,37.2327,49.4361,60.5238,69.8499,78.8758,86.9346,93.5506,101.047,0.867332,2.5571,5.19566,8.21381,12.1345,16.3634,20.7878,26.7213,
0,1475,1.2288,40.4589,65.1044,74.6655,84.5797,92.0414,97.4559,102.696,108.818,0.908427,4.4227,6.51434,9.87999,13.3463,16.0095,19.1739,23.6008,
0,1692,-33.368,35.2661,49.6929,59.745,69.7232,78.7475,86.5977,93.0748,100.513,0.725156,2.69365,5.05717,8.44061,12.3545,16.625,21.0813,26.292,
0,4509,-21.686,26.2539,34.2459,40.6522,46.4299,53.6793,62.4377,72.4974,82.3673,0.444514,1.552,2.93902,4.95222,8.02311,12.8838,19.2929,26.7003,
0,4514,-31.4024,22.2956,27.0956,31.7307,36.6162,42.1735,49.1151,57.8563,71.3595,0.0888838,0.749056,1.67297,3.31611,5.94495,9.75184,14.8976,25.3644,
0,4510,-22.3042,23.8656,30.4723,37.1506,44.4001,52.2113,61.2263,72.3507,87.4709,0.212892,1.13273,2.80624,5.19265,8.71304,13.6216,20.7292,31.9443,
0,4536,-12.8163,24.1035,31.121,36.4518,41.1214,45.5901,50.4144,56.0395,64.4368,0.404765,1.34351,2.49172,4.14573,5.87819,8.52838,12.3962,18.402,
0,3976,-28.8736,28.9257,37.9859,45.6501,52.6878,58.9853,65.6701,72.797,80.8044,0.471237,1.64367,3.51147,5.82574,8.38104,12.117,16.5345,22.4487,
0,475,7.61196,45.4288,55.5748,69.3344,76.2915,82.692,90.8629,97.0147,103.423,1.03224,2.4202,5.99957,8.26461,10.9265,15.2098,19.6134,24.0858,
