Ch,E,T_zero,T_zc,a0,a1,a2,a3,dTime,chi2
0,905,-51.9211,154.586,0.03677,0.0011658,-4.74751e-05,1.95025e-06,54.9609,0.000431699
0,4265,37.0659,166.029,-0.01349,-0.000368437,-3.11255e-05,4.34562e-06,-36.4764,3.41868e-05
0,4543,56.0142,180.4,0.002568,-5.97067e-05,-4.77697e-05,3.09375e-06,-52.4072,3.66955e-05
0,1620,42.3779,178.432,-0.00108328,-0.00338829,0.000140193,5.29579e-07,-38.9714,0.000107428
0,4511,42.1653,165.936,0.00218649,-0.000862583,-1.58773e-05,3.59875e-06,-41.5207,2.94699e-05
0,4528,50.2036,171.218,0.00289403,-0.000322687,-6.32043e-05,4.1423e-06,-46.6069,2.69749e-05
0,2093,51.0331,190.814,0.0205317,-0.00426016,0.000186417,-1.04014e-06,-49.5394,0.000132125
0,4529,61.4468,180.298,-0.00894536,0.002719,-0.000286467,9.19651e-06,-58.9355,2.55322e-05
0,2730,44.2946,175.009,0.00835017,0.000212489,-0.000147909,6.57256e-06,-40.5595,3.6107e-05
0,1997,-17.3281,177.683,-0.00388258,0.000399021,-0.000233395,1.092e-05,19.0078,5.88491e-05
0,4520,46.5472,171.166,0.00128966,0.000296487,-0.000109137,5.26937e-06,-42.9064,1.15239e-05
0,4536,49.8644,169.533,0.00563931,-0.00124847,-3.02469e-05,4.23202e-06,-48.9923,2.29996e-05
0,4533,55.836,173.611,-0.000812548,0.000867913,-0.000166981,7.04265e-06,-52.9097,2.1797e-05
0,2177,53.2027,191.464,0.011219,-0.00247828,9.67468e-05,3.28085e-07,-51.0088,7.45066e-05
0,4512,54.2476,170.835,0.00264269,-0.00152086,-2.94985e-05,4.91983e-06,-52.8614,2.64555e-05
0,3636,60.2157,181.075,-0.00218648,0.00190518,-0.000283879,9.99125e-06,-56.9957,2.3927e-05
0,4521,71.3468,188.559,0.000748654,0.000721034,-0.000105958,3.63818e-06,-71.0996,2.79117e-05
0,2569,47.7111,175.157,0.0153338,-0.00210068,4.4357e-05,2.08429e-06,-44.8819,6.18929e-05
0,3427,-47.1216,255.029,-0.00558713,-0.000862622,5.20345e-05,-1.86229e-07,51.0005,4.20511e-05
0,4509,51.721,169.586,-0.0037952,-0.000316178,-5.6864e-05,4.35597e-06,-49.7406,2.0052e-05
0,2393,48.8745,178.744,-0.00185569,0.00306737,-0.000440255,1.56917e-05,-45.997,4.60443e-05
0,2584,58.833,201.514,-0.00563506,0.00112359,-0.000115595,3.47822e-06,-58.6239,6.97551e-05
0,2896,44.4359,167.18,-0.014976,0.00227355,-0.000203868,7.91546e-06,-43.8807,3.9219e-05
0,4510,56.028,174.102,0.000757884,-0.000597511,-7.88159e-05,5.30123e-06,-55.476,5.17143e-05
0,4517,42.5815,167.137,0.0011505,0.000822419,-0.00011981,5.2222e-06,-42.5126,1.75486e-05
0,4526,48.6311,225.165,0.0109854,-0.0016296,7.11593e-05,-1.86584e-07,-46.1021,2.08547e-05
0,4543,48.3089,192.002,0.00854414,-0.00199177,8.4564e-05,2.34991e-07,-46.4708,1.7402e-05
0,1410,-4.71576,163.714,-0.0107592,-0.00191598,5.09918e-05,3.565e-06,7.30908,0.000153085
0,1918,26.029,185.767,0.00665915,-0.00306816,0.000166455,-1.10149e-06,-22.2074,9.33665e-05
0,347,36.9785,186.179,-0.00895688,0.00188014,-0.000244417,8.05367e-06,-33.8962,0.00217511
0,4530,50.3198,172.233,-0.00154206,0.000516846,-0.000135195,6.31791e-06,-46.8865,1.9112e-05
0,2585,43.3854,177.94,0.0104462,-0.00316729,0.000137984,1.39091e-07,-41.3471,6.80014e-05
0,4541,47.0566,167.119,0.00867243,-0.000331035,-8.63575e-05,5.25031e-06,-45.1734,2.77936e-05
0,1765,57.271,174.152,0.0188946,-0.00309691,0.000111918,9.25764e-07,-57.2715,0.000135383
0,4531,53.3589,193.319,0.00510521,-0.00106145,3.60903e-05,9.29296e-07,-52.9993,3.05319e-05
0,2413,29.0955,243.691,0.00569045,-0.00127127,5.66524e-05,-1.51679e-07,-28.9035,5.63066e-05
0,4525,59.9026,179.98,-0.00545237,0.00212569,-0.000285441,1.00182e-05,-57.2384,1.641e-05
0,2819,66.2769,224.266,0.00550293,-0.00109132,5.64997e-05,-5.50196e-08,-63.9988,4.3984e-05
0,1777,35.9753,157.386,0.0100051,-0.00103582,2.06749e-05,2.94337e-06,-35.5596,7.35798e-05
0,4504,51.775,168.366,0.00594883,-0.000466579,-6.77969e-05,4.60689e-06,-50.1159,2.23118e-05
0,268,18.4644,161.445,0.0218845,-0.0178638,0.000896422,-7.92663e-06,-16.0512,0.00407441
0,4531,17.8514,186.447,-0.0053431,-0.00137521,7.32988e-05,6.35764e-07,-16.8602,2.22235e-05
0,499,17.6592,138.684,0.0429094,-0.00373843,0.000243627,-2.26376e-06,-14.3223,0.000870639
0,2892,49.4488,198.829,0.00233291,-0.00116652,4.40888e-05,7.17483e-07,-49.3354,3.17799e-05
0,1670,47.488,224.871,0.00028573,-0.00111295,6.70055e-05,-2.21237e-07,-43.9296,0.000113893
0,1475,6.81389,186.309,-0.0135,-0.000476885,0.000101057,-7.25217e-07,-4.73949,0.000145396
0,1692,53.4224,185.681,9.41829e-06,-0.00213501,0.000125083,-3.19407e-07,-53.1836,0.000105632
0,4509,49.576,173.532,-0.00285776,0.00121794,-0.000168856,6.56668e-06,-47.3113,2.70545e-05
0,4514,59.3447,183.976,-0.0035159,0.00259149,-0.000472843,1.69519e-05,-58.0765,3.93356e-05
0,4510,54.2669,184.491,-0.00691964,0.00262485,-0.000338156,1.10617e-05,-50.8135,2.77956e-05
0,1195,32.8438,168.34,-0.00830526,-0.0026322,8.13922e-05,2.55676e-06,-31.4758,0.000131791
0,4536,48.804,171.76,0.00770219,-0.00111519,-6.227e-05,5.27352e-06,-45.6914,1.5779e-05
0,3976,60.9269,177.842,0.0054246,-0.00124865,3.61827e-06,2.59418e-06,-57.8434,2.79449e-05
0,475,-59.7319,143.058,-0.00753763,0.0068578,-0.000301315,5.9264e-06,60.5884,0.0016321
0,3409,52.0435,180.931,0.00271044,0.00195442,-0.000275867,9.27451e-06,-50.9569,5.27305e-05
0,2316,34.4736,172.379,-0.0334526,0.00124255,-0.000139004,7.43802e-06,-31.0549,4.51806e-05
0,2350,12.4047,177.908,-0.00662039,-0.000501783,8.20784e-05,-2.09622e-07,-9.19699,7.07969e-05
0,4540,46.5041,174.454,0.00205749,0.000119786,-5.70806e-05,3.37877e-06,-43.3692,2.10873e-05
0,2317,57.303,198.725,0.00697188,-0.00223471,0.000101842,-1.82606e-07,-55.44,5.32175e-05
0,2608,56.6121,175.446,0.000541593,-1.45624e-05,-3.16077e-05,2.67747e-06,-53.8591,4.15722e-05
0,1292,51.3526,176.214,0.00200966,0.000132439,-1.39783e-05,1.72009e-06,-48.4981,0.000164368
0,4512,62.4395,328.909,-0.0058997,0.000437657,-1.14827e-05,2.70788e-07,-62.1828,1.82668e-05
0,965,33.351,237.461,-0.00226021,-0.000750901,5.43487e-05,-7.74561e-08,-31.7586,0.000375458
0,4528,47.8491,173.667,0.00170222,0.000910056,-0.000168365,6.8319e-06,-45.933,1.8601e-05
0,1771,37.2978,260.954,-0.0179966,0.00186305,-3.48242e-05,5.50181e-07,-33.9468,8.61772e-05
0,4545,60.7843,204.478,0.0119791,-0.00187073,5.93112e-05,5.74671e-07,-59.9976,2.94552e-05
0,2068,42.8302,173.217,0.00611602,0.00172851,-0.000277245,1.05896e-05,-41.0903,5.28649e-05
0,4525,60.4032,199.464,0.00814474,-0.00184275,6.289e-05,5.95684e-07,-56.5115,3.21131e-05
0,4553,29.5827,216.954,0.00461034,-0.0011643,6.21326e-05,-8.20674e-08,-26.4523,1.2542e-05
0,3060,44.3116,169.897,0.009117,-0.000323188,-6.56808e-05,4.12294e-06,-42.6626,1.56561e-05
0,1911,44.4555,179.483,-0.0117402,-0.00040483,-0.000162325,9.12482e-06,-41.3486,6.25784e-05
0,1976,54.3552,214.272,0.0135832,-0.00122205,6.27804e-05,-1.74357e-07,-52.6636,0.000107593
